cluster,datestring,year,month,day,max D8HO,month_string,site
3,2014-06-07,2014,6,7,44,june.csv,
3,2014-06-08,2014,6,8,32,june.csv,
3,2014-06-09,2014,6,9,26,june.csv,
3,2014-06-10,2014,6,10,63,june.csv,
7,2014-06-11,2014,6,11,78,june.csv,
7,2014-06-12,2014,6,12,42,june.csv,
11,2014-06-13,2014,6,13,59,june.csv,
7,2014-06-14,2014,6,14,54,june.csv,
3,2014-06-15,2014,6,15,37,june.csv,
1,2014-06-16,2014,6,16,36,june.csv,
0,2014-06-17,2014,6,17,40,june.csv,
0,2014-06-18,2014,6,18,29,june.csv,
0,2014-06-19,2014,6,19,48,june.csv,
0,2014-06-20,2014,6,20,59,june.csv,
0,2014-06-21,2014,6,21,47,june.csv,
2,2014-06-22,2014,6,22,31,june.csv,
2,2014-06-23,2014,6,23,30,june.csv,
15,2014-06-24,2014,6,24,34,june.csv,
0,2014-06-25,2014,6,25,25,june.csv,
0,2014-06-26,2014,6,26,27,june.csv,
2,2014-06-27,2014,6,27,31,june.csv,
2,2014-06-28,2014,6,28,22,june.csv,
0,2014-06-29,2014,6,29,26,june.csv,
12,2014-06-30,2014,6,30,39,june.csv,
0,2014-07-01,2014,7,1,50,july.csv,
5,2014-07-02,2014,7,2,54,july.csv,
9,2014-07-03,2014,7,3,63,july.csv,
12,2014-07-04,2014,7,4,65,july.csv,
12,2014-07-05,2014,7,5,57,july.csv,
12,2014-07-06,2014,7,6,59,july.csv,
13,2014-07-07,2014,7,7,45,july.csv,
0,2014-07-08,2014,7,8,38,july.csv,
12,2014-07-09,2014,7,9,55,july.csv,
4,2014-07-10,2014,7,10,42,july.csv,
0,2014-07-11,2014,7,11,65,july.csv,
12,2014-07-12,2014,7,12,66,july.csv,
12,2014-07-13,2014,7,13,67,july.csv,
12,2014-07-14,2014,7,14,56,july.csv,
13,2014-07-15,2014,7,15,51,july.csv,
15,2014-07-16,2014,7,16,76,july.csv,
11,2014-07-17,2014,7,17,27,july.csv,
15,2014-07-18,2014,7,18,32,july.csv,
15,2014-07-19,2014,7,19,58,july.csv,
12,2014-07-20,2014,7,20,61,july.csv,
12,2014-07-21,2014,7,21,58,july.csv,
12,2014-07-22,2014,7,22,58,july.csv,
12,2014-07-23,2014,7,23,72,july.csv,
12,2014-07-24,2014,7,24,76,july.csv,
13,2014-07-25,2014,7,25,70,july.csv,
12,2014-07-26,2014,7,26,35,july.csv,
12,2014-07-27,2014,7,27,34,july.csv,
12,2014-07-28,2014,7,28,54,july.csv,
12,2014-07-29,2014,7,29,48,july.csv,
12,2014-07-30,2014,7,30,83,july.csv,
13,2014-07-31,2014,7,31,43,july.csv,
13,2014-08-01,2014,8,1,54,august.csv,
14,2014-08-02,2014,8,2,47,august.csv,
13,2014-08-03,2014,8,3,54,august.csv,
13,2014-08-04,2014,8,4,59,august.csv,
13,2014-08-05,2014,8,5,52,august.csv,
12,2014-08-06,2014,8,6,73,august.csv,
12,2014-08-07,2014,8,7,47,august.csv,
15,2014-08-08,2014,8,8,49,august.csv,
4,2014-08-09,2014,8,9,40,august.csv,
8,2014-08-10,2014,8,10,42,august.csv,
13,2014-08-11,2014,8,11,52,august.csv,
13,2014-08-12,2014,8,12,76,august.csv,
13,2014-08-13,2014,8,13,82,august.csv,
